iter,layer_idx,flat_idx,bit_pos,field,field_bit,score_est,original_u16,flipped_u16,byte_offset,page_num,page_offset,base_loss,cand_loss,loss_after_flip,loss_before,bit_gradient,g_ij,h_ii,delta_w,second_order_score,probe_question,probe_response,probe_top_tokens,probe_loss_after_flip
0,21,111389,14,exp,7,5.472680888895708e+37,48426,64810,222778,54,1594,4.033184957504273,4.2205318212509155,4.2205318212509155,4.033184957504273,0.1873468637466429,-3.875,179.6875,-1.412304745521473e+37,1.792027654965503e+76,"In one sentence, what is the capital of France?","A. Paris
Paris",362: A:0.1140 | 576: The:0.0945 | 12095: Paris:0.0475 | 2980: Can:0.0420 | 358: I:0.0394,4.2205318212509155
1,16,82717,14,exp,7,2.3861849250504117e+37,48427,64811,165434,40,1594,4.2205318212509155,4.2562114000320435,4.2562114000320435,4.2205318212509155,0.03567957878112793,-1.6796875,1.3550986846033487e+35,-1.4206124204951288e+37,1.367389192032452e+109,"In one sentence, what is the capital of France?","A. Paris
Paris",362: A:0.2374 | 576: The:0.1737 | 5267:?\n:0.0873 | 3555: What:0.0321 | 758: In:0.0321,4.2562114000320435
2,10,0,14,exp,7,inf,15535,31919,0,0,0,4.2562114000320435,4.30068199634552,4.30068199634552,4.2562114000320435,0.044470596313476385,-1.8278958392573193e+27,2.10643234809653e+32,7.269215601948759e+36,5.565351768739047e+105,"In one sentence, what is the capital of France?","A. Paris
B. London
C. Berlin
D. Rome
答案:
A",576: The:0.2124 | 362: A:0.2124 | 5267:?\n:0.0832 | 758: In:0.0326 | 3555: What:0.0306,4.30068199634552
3,19,55267,14,exp,7,1.990110030310302e+36,48607,64991,110534,26,4038,4.30068199634552,4.387989020347595,4.387989020347595,4.30068199634552,0.08730702400207502,0.0537109375,9.388537257940324e+33,-3.705223038250453e+37,6.444610134094513e+108,"In one sentence, what is the capital of France?","A. Paris
Paris is the capital of France.",362: A:0.2007 | 576: The:0.1885 | 5267:?\n:0.1009 | 758: In:0.0308 | 358: I:0.0289,4.387989020347595
4,2,2,14,exp,7,inf,15692,32076,4,0,4,4.387989020347595,4.567980861663818,4.567980861663818,4.387989020347595,0.17999184131622314,7.576193040426527e+29,3.76781074496013e+32,1.6947656946257677e+37,5.411010959164331e+106,"In one sentence, what is the capital of France?","A： Paris B： London C： Rome D： Berlin
A 解析：巴黎",362: A:0.2599 | 5267:?\n:0.1391 | 576: The:0.0844 | 320: (:0.0374 | 758: In:0.0227,4.567980861663818
5,0,1,14,exp,7,inf,47765,64149,2,0,2,4.567980861663818,5.1263298988342285,5.1263298988342285,4.567980861663818,0.5583490371704105,1.160568786830044e+28,nan,-3.8682611596084466e+35,nan,"In one sentence, what is the capital of France?","The answer is: 1. The question: ""How many times have you been asked to be a part of the United States?"" The answer: ""I have been asked to be a part of the United States."" The question: ""How many times have you been asked to be a part of the United States?"" The answer: ""I have been asked to be a part of the United States",576: The:0.0734 | 5267:?\n:0.0648 | 362: A:0.0609 | 358: I:0.0369 | 320: (:0.0369,5.1263298988342285
6,2,2049,14,exp,7,inf,48180,64564,4098,1,2,5.1263298988342285,5.629374647140503,5.629374647140503,5.1263298988342285,0.5030447483062748,-8.975065284819007e+28,2.4363983746908762e+33,-3.738453738145076e+36,1.7025596126622337e+106,"In one sentence, what is the capital of France?","A)vus, a)l, aul, aul, aul, aul, aul, aul, aul, aul, aul, aul, aul, aul, aul, aul, aul, aul, aul, aul, aul, aul, aul, aul, aul, aul",362: A:0.1220 | 151643::0.1012 | 576: The:0.0788 | 758: In:0.0695 | 320: (:0.0695,5.629374647140503
7,11,33565,14,exp,7,8.837289253226277e+36,48660,65044,67130,16,1594,5.629374647140503,5.661285328865051,5.661285328865051,5.629374647140503,0.03191068172454781,0.1796875,7.774263446712188e+32,-4.918143584404189e+37,9.402247200595742e+107,"In one sentence, what is the capital of France?",A)vus?,362: A:0.1236 | 151643::0.1024 | 576: The:0.0798 | 320: (:0.0704 | 758: In:0.0661,5.661285328865051
8,16,39709,14,exp,7,2.8369411960819664e+36,48632,65016,79418,19,1594,5.661285328865051,5.683792281150818,5.683792281150818,5.661285328865051,0.0225069522857666,-0.06884765625,2.253050871499392e+32,-4.120606786933239e+37,1.9127726313299918e+107,"In one sentence, what is the capital of France?",A)v,362: A:0.1167 | 151643::0.1030 | 576: The:0.0802 | 758: In:0.0708 | 320: (:0.0708,5.683792281150818
9,17,31517,14,exp,7,3.225227645534274e+36,48655,65039,63034,15,1594,5.683792281150818,5.681211972236634,5.681211972236634,5.683792281150818,-0.0025803089141840374,-0.06787109375,8.239728901483491e+33,-4.751990084931074e+37,9.303234734786265e+108,"In one sentence, what is the capital of France?",A)vus?,362: A:0.1180 | 151643::0.1042 | 576: The:0.0762 | 320: (:0.0716 | 758: In:0.0672,5.681211972236634
